team,line,p_over,p_under,p_push,total
DEN,15.0,0.00355,0.9766,0.01985,1.0
DEN,15.5,0.00355,0.99645,0.0,1.0
DEN,16.0,0.00015,0.99645,0.0034,0.9999999999999999
DEN,16.5,0.00015,0.99985,0.0,1.0
DET,0.5,1.0,0.0,0.0,1.0
DET,1.0,1.0,0.0,0.0,1.0
DET,1.5,1.0,0.0,0.0,1.0
DET,2.0,1.0,0.0,0.0,1.0
DET,2.5,1.0,0.0,0.0,1.0
DET,3.0,1.0,0.0,0.0,1.0
DET,3.5,1.0,0.0,0.0,1.0
DET,4.0,1.0,0.0,0.0,1.0
DET,4.5,1.0,0.0,0.0,1.0
DET,5.0,0.99975,0.0,0.00025,1.0
DET,5.5,0.99975,0.00025,0.0,1.0
DET,6.0,0.9993,0.00025,0.00045,0.9999999999999999
DET,6.5,0.9993,0.0007,0.0,1.0
DET,7.0,0.99645,0.0007,0.00285,1.0
DET,7.5,0.99645,0.00355,0.0,1.0
DET,8.0,0.9851,0.00355,0.01135,1.0
DET,8.5,0.9851,0.0149,0.0,1.0
DET,9.0,0.95055,0.0149,0.03455,1.0
DET,9.5,0.95055,0.04945,0.0,1.0
DET,10.0,0.867,0.04945,0.08355,1.0
DET,10.5,0.867,0.133,0.0,1.0
DET,11.0,0.71875,0.133,0.14825,1.0
DET,11.5,0.71875,0.28125,0.0,1.0
DET,12.0,0.5104,0.28125,0.20835,1.0
DET,12.5,0.5104,0.4896,0.0,1.0
DET,13.0,0.2948,0.4896,0.2156,1.0
DET,13.5,0.2948,0.7052,0.0,1.0
DET,14.0,0.12485,0.7052,0.16995,1.0
DET,14.5,0.12485,0.87515,0.0,1.0
DET,15.0,0.0333,0.87515,0.09155,1.0
DET,15.5,0.0333,0.9667,0.0,1.0
DET,16.0,0.00405,0.9667,0.02925,1.0
DET,16.5,0.00405,0.99595,0.0,1.0
GB,0.5,1.0,0.0,0.0,1.0
GB,1.0,1.0,0.0,0.0,1.0
GB,1.5,1.0,0.0,0.0,1.0
GB,2.0,1.0,0.0,0.0,1.0
GB,2.5,1.0,0.0,0.0,1.0
GB,3.0,0.9999,0.0,0.0001,1.0
GB,3.5,0.9999,0.0001,0.0,1.0
GB,4.0,0.99945,0.0001,0.00045,0.9999999999999999
GB,4.5,0.99945,0.00055,0.0,1.0
GB,5.0,0.99725,0.00055,0.0022,1.0
GB,5.5,0.99725,0.00275,0.0,1.0
GB,6.0,0.9862,0.00275,0.01105,1.0
GB,6.5,0.9862,0.0138,0.0,1.0
GB,7.0,0.95365,0.0138,0.03255,1.0
GB,7.5,0.95365,0.04635,0.0,1.0
GB,8.0,0.87865,0.04635,0.075,1.0
GB,8.5,0.87865,0.12135,0.0,1.0
